timepoint_idx,timestamp,mean_e1,mean_e3,job_id
0,2026-04-23T16:37:23.136143+00:00,0.567431640625,0.22939453125,d7l4lgq7vf3s73cfv5t0
1,2026-04-23T17:07:23.236488+00:00,0.58056640625,0.225048828125,d7l53j48gm9c73fngll0
2,2026-04-23T17:37:23.336807+00:00,0.538671875,0.212890625,d7l5hlc8gm9c73fnh260
3,2026-04-23T18:07:23.436970+00:00,0.484423828125,0.16953125,d7l5vn0lc9ec73amjpeg
4,2026-04-23T18:37:23.537280+00:00,0.554150390625,0.21328125,d7l6dp48gm9c73fnhr60
5,2026-04-23T19:07:23.637585+00:00,0.620556640625,0.245849609375,d7l6rr48gm9c73fni7i0
6,2026-04-23T19:37:23.737884+00:00,0.610009765625,0.255419921875,d7l79ticf0ts7385valg
7,2026-04-23T20:07:23.838185+00:00,0.588720703125,0.23408203125,d7l7nv27vf3s73cg1t1g
8,2026-04-23T20:37:23.938478+00:00,0.54697265625,0.2044921875,d7l8618lc9ec73amlnp0
9,2026-04-23T21:07:24.038650+00:00,0.600732421875,0.239013671875,d7l8k327vf3s73cg2nk0
10,2026-04-23T21:37:24.138825+00:00,0.588916015625,0.2275390625,d7l925c8gm9c73fnk8eg
11,2026-04-23T22:07:24.213137+00:00,0.5833984375,0.22275390625,d7l9g78lc9ec73amn0pg
12,2026-04-23T22:37:24.313439+00:00,0.589404296875,0.2298828125,d7l9u9c8gm9c73fnl3kg
13,2026-04-23T23:07:24.413739+00:00,0.578271484375,0.2169921875,d7lacba7vf3s73cg4e1g
14,2026-04-23T23:37:24.513887+00:00,0.614892578125,0.23876953125,d7laqdglc9ec73amo8eg
15,2026-04-24T00:07:24.614182+00:00,0.620703125,0.232275390625,d7lb8facf0ts738631dg
16,2026-04-24T00:37:24.714387+00:00,0.60283203125,0.234130859375,d7lbmha7vf3s73cg5lhg
17,2026-04-24T01:07:24.814676+00:00,0.608154296875,0.2279296875,d7lc4jc8gm9c73fnn55g
18,2026-04-24T01:37:24.914762+00:00,0.579443359375,0.2453125,d7lcils8gm9c73fnniag
19,2026-04-24T02:07:25.014903+00:00,0.590869140625,0.23740234375,d7ld0njsl01c73fehcs0
20,2026-04-24T02:37:25.115051+00:00,0.6083984375,0.228271484375,d7ldepoh39qs73dj9lu0
21,2026-04-24T03:07:25.215330+00:00,0.579248046875,0.218603515625,d7ldsrlk1igs73bps0hg
22,2026-04-24T03:37:25.315479+00:00,0.6123046875,0.2486328125,d7leatgsd5gc73eteq10
23,2026-04-24T04:07:25.317008+00:00,0.58076171875,0.209716796875,d7leovgh39qs73djas1g
24,2026-04-24T04:37:25.321009+00:00,0.543310546875,0.207568359375,d7lf71rsl01c73fejdr0
