timepoint_idx,timestamp,backend,rep,scale_factor,exp_val,n_shots,ideal
0,2026-03-27T09:51:34.272734+00:00,EQE1,0,1.0,0.287109,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,0,3.0,0.081055,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,0,5.0,-0.077637,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,1,1.0,0.284668,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,1,3.0,0.096680,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,1,5.0,-0.104980,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,2,1.0,0.308105,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,2,3.0,0.100098,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,2,5.0,-0.086914,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,3,1.0,0.297363,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,3,3.0,0.085938,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,3,5.0,-0.078613,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,4,1.0,0.273926,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,4,3.0,0.098145,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,4,5.0,-0.089355,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,5,1.0,0.274414,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,5,3.0,0.088379,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,5,5.0,-0.085938,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,6,1.0,0.309082,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,6,3.0,0.077148,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,6,5.0,-0.097656,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,7,1.0,0.305664,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,7,3.0,0.070312,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,7,5.0,-0.120117,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,8,1.0,0.296875,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,8,3.0,0.084961,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,8,5.0,-0.091309,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,9,1.0,0.279297,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,9,3.0,0.083496,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,9,5.0,-0.108887,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,10,1.0,0.295410,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,10,3.0,0.105469,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,10,5.0,-0.106934,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,11,1.0,0.270508,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,11,3.0,0.064941,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,11,5.0,-0.061523,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,12,1.0,0.304199,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,12,3.0,0.087402,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,12,5.0,-0.090820,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,13,1.0,0.296387,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,13,3.0,0.101562,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,13,5.0,-0.112793,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,14,1.0,0.286133,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,14,3.0,0.083496,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,14,5.0,-0.097168,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,15,1.0,0.308594,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,15,3.0,0.078125,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,15,5.0,-0.078613,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,16,1.0,0.250000,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,16,3.0,0.087402,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,16,5.0,-0.082520,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,17,1.0,0.272949,4096,0.981197
0,2026-03-27T09:51:34.272734+00:00,EQE1,17,3.0,0.089355,4096,0.981197
