timepoint_idx,timestamp,backend,rep,scale_factor,exp_val,n_shots,ideal
0,2026-03-26T09:06:45.765678+00:00,EQE1,0,1.0,0.282715,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,0,3.0,-0.010742,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,0,5.0,-0.189941,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,1,1.0,0.278809,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,1,3.0,0.005371,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,1,5.0,-0.139648,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,2,1.0,0.267578,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,2,3.0,-0.009766,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,2,5.0,-0.143555,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,3,1.0,0.278809,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,3,3.0,0.003418,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,3,5.0,-0.141113,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,4,1.0,0.267090,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,4,3.0,-0.023926,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,4,5.0,-0.151855,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,5,1.0,0.280762,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,5,3.0,-0.017578,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,5,5.0,-0.147949,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,6,1.0,0.281738,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,6,3.0,-0.001465,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,6,5.0,-0.138184,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,7,1.0,0.257324,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,7,3.0,0.011719,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,7,5.0,-0.154297,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,8,1.0,0.267578,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,8,3.0,-0.010254,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,8,5.0,-0.150391,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,9,1.0,0.261719,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,9,3.0,-0.037598,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,9,5.0,-0.150879,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,10,1.0,0.313477,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,10,3.0,-0.035156,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,10,5.0,-0.162598,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,11,1.0,0.264160,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,11,3.0,-0.020996,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,11,5.0,-0.143066,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,12,1.0,0.272949,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,12,3.0,-0.000488,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,12,5.0,-0.138672,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,13,1.0,0.273926,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,13,3.0,-0.037598,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,13,5.0,-0.138672,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,14,1.0,0.271973,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,14,3.0,-0.000488,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,14,5.0,-0.150879,4096,0.981197
0,2026-03-26T09:06:45.765678+00:00,EQE1,15,1.0,0.271973,4096,0.981197
