timepoint_idx,timestamp,backend,rep,scale_factor,exp_val,n_shots,ideal
0,2026-03-25T08:21:13.505166+00:00,EQE1,0,1.0,0.270020,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,0,3.0,0.006836,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,0,5.0,-0.094727,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,1,1.0,0.275391,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,1,3.0,0.036621,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,1,5.0,-0.102539,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,2,1.0,0.273926,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,2,3.0,0.029297,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,2,5.0,-0.082520,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,3,1.0,0.256836,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,3,3.0,0.018066,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,3,5.0,-0.125000,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,4,1.0,0.277344,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,4,3.0,-0.010254,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,4,5.0,-0.074219,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,5,1.0,0.301758,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,5,3.0,0.002441,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,5,5.0,-0.093262,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,6,1.0,0.277832,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,6,3.0,0.046875,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,6,5.0,-0.097168,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,7,1.0,0.262695,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,7,3.0,0.042480,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,7,5.0,-0.096191,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,8,1.0,0.271484,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,8,3.0,0.033203,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,8,5.0,-0.060059,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,9,1.0,0.256348,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,9,3.0,-0.012207,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,9,5.0,-0.111816,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,10,1.0,0.273926,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,10,3.0,0.009277,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,10,5.0,-0.103516,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,11,1.0,0.308105,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,11,3.0,0.005371,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,11,5.0,-0.084473,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,12,1.0,0.264648,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,12,3.0,0.045898,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,12,5.0,-0.094238,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,13,1.0,0.265625,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,13,3.0,0.060547,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,13,5.0,-0.088867,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,14,1.0,0.274902,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,14,3.0,0.006836,4096,0.981197
0,2026-03-25T08:21:13.505166+00:00,EQE1,14,5.0,-0.095215,4096,0.981197
