timepoint_idx,timestamp,backend,rep,scale_factor,exp_val,n_shots,ideal
0,2026-04-08T14:54:06.060829+00:00,EQE1,0,1.0,0.319336,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,0,3.0,0.079590,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,0,5.0,-0.066406,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,1,1.0,0.337402,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,1,3.0,0.065918,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,1,5.0,-0.076172,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,2,1.0,0.307129,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,2,3.0,0.059082,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,2,5.0,-0.087402,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,3,1.0,0.338867,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,3,3.0,0.059082,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,3,5.0,-0.083008,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,4,1.0,0.341309,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,4,3.0,0.071777,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,4,5.0,-0.074707,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,5,1.0,0.336426,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,5,3.0,0.050781,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,5,5.0,-0.077148,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,6,1.0,0.331543,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,6,3.0,0.075684,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,6,5.0,-0.107422,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,7,1.0,0.299805,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,7,3.0,0.081543,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,7,5.0,-0.114258,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,8,1.0,0.335449,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,8,3.0,0.084473,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,8,5.0,-0.067383,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,9,1.0,0.324219,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,9,3.0,0.047852,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,9,5.0,-0.075195,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,10,1.0,0.309082,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,10,3.0,0.068359,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,10,5.0,-0.075684,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,11,1.0,0.345215,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,11,3.0,0.079590,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,11,5.0,-0.095703,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,12,1.0,0.360352,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,12,3.0,0.071777,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,12,5.0,-0.069824,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,13,1.0,0.319824,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,13,3.0,0.059570,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,13,5.0,-0.074707,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,14,1.0,0.344727,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,14,3.0,0.066406,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,14,5.0,-0.069336,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,15,1.0,0.334473,4096,0.981197
0,2026-04-08T14:54:06.060829+00:00,EQE1,15,3.0,0.094238,4096,0.981197
