paper,criterion,csv_column,csv_rating,scan_candidate,direction,n_strong,n_weak
Kim et al. (enhanced),C7,reproducibility,partial,yes,UPGRADE,10,0
Kim et al. (enhanced),C8,neg_results,yes,no,DOWNGRADE,0,0
Kiss et al.,C1,sample_size,partial,yes,UPGRADE,3,3
Kiss et al.,C5,overhead,partial,yes,UPGRADE,2,9
Kiss et al.,C7,reproducibility,partial,yes,UPGRADE,1,0
Krebsbach et al.,C8,neg_results,yes,partial,DOWNGRADE,0,5
Kurita et al.,C1,sample_size,partial,yes,UPGRADE,1,2
Kurita et al.,C7,reproducibility,yes,partial,DOWNGRADE,0,1
LaRose et al.,C4,drift,no,partial,UPGRADE,0,2
LaRose et al.,C5,overhead,yes,no,DOWNGRADE,0,0
LaRose et al.,C6,noise_model,partial,yes,UPGRADE,1,2
LaRose et al.,C8,neg_results,partial,no,DOWNGRADE,0,0
LaRose et al.,C4,drift,no,partial,UPGRADE,0,5
LaRose et al.,C5,overhead,yes,partial,DOWNGRADE,0,46
LaRose et al.,C6,noise_model,partial,yes,UPGRADE,10,27
Liao et al.,C5,overhead,yes,partial,DOWNGRADE,0,34
Liu & Cai,C7,reproducibility,partial,yes,UPGRADE,3,0
Liu & Cai,C8,neg_results,partial,yes,UPGRADE,1,1
Lorenz et al.,C8,neg_results,partial,yes,UPGRADE,1,18
Mamedaliev et al.,C5,overhead,yes,partial,DOWNGRADE,0,2
Mamedaliev et al.,C6,noise_model,partial,no,DOWNGRADE,0,0
Maupin et al.,C8,neg_results,yes,partial,DOWNGRADE,0,2
McDonough et al.,C2,variance,partial,yes,UPGRADE,5,5
McDonough et al.,C3,stat_tests,partial,yes,UPGRADE,1,8
McDonough et al.,C4,drift,no,partial,UPGRADE,0,4
Moguel et al.,C8,neg_results,yes,partial,DOWNGRADE,0,6
Niroula et al.,C1,sample_size,partial,yes,UPGRADE,2,0
Niroula et al.,C2,variance,partial,yes,UPGRADE,4,3
Niroula et al.,C3,stat_tests,partial,yes,UPGRADE,2,38
Niroula et al.,C7,reproducibility,partial,yes,UPGRADE,1,0
Noel et al.,C4,drift,partial,no,DOWNGRADE,0,0
Noel et al.,C6,noise_model,partial,yes,UPGRADE,2,7
Noel et al.,C7,reproducibility,partial,yes,UPGRADE,9,0
Noel et al.,C8,neg_results,yes,partial,DOWNGRADE,0,1
Pascuzzi et al.,C1,sample_size,yes,no,DOWNGRADE,0,0
Pascuzzi et al.,C4,drift,partial,no,DOWNGRADE,0,0
Pascuzzi et al.,C5,overhead,partial,no,DOWNGRADE,0,0
Pascuzzi et al.,C7,reproducibility,yes,no,DOWNGRADE,0,0
Pascuzzi et al.,C8,neg_results,partial,no,DOWNGRADE,0,0
Patil et al.,C2,variance,yes,no,DOWNGRADE,0,0
Patil et al.,C3,stat_tests,partial,no,DOWNGRADE,0,0
Pelofske et al.,C3,stat_tests,partial,yes,UPGRADE,1,1
Pelofske et al.,C6,noise_model,partial,yes,UPGRADE,3,5
Prodius et al.,C5,overhead,yes,partial,DOWNGRADE,0,2
Prodius et al.,C8,neg_results,partial,yes,UPGRADE,1,6
Qin et al.,C7,reproducibility,partial,yes,UPGRADE,4,0
Quek et al.,C8,neg_results,yes,partial,DOWNGRADE,0,10
Roy et al.,C3,stat_tests,partial,yes,UPGRADE,1,38
Roy et al.,C4,drift,no,partial,UPGRADE,0,5
Roy et al.,C6,noise_model,partial,yes,UPGRADE,1,10
Roy et al.,C8,neg_results,yes,no,DOWNGRADE,0,0
Russo et al.,C3,stat_tests,partial,yes,UPGRADE,1,2
Russo et al.,C4,drift,no,partial,UPGRADE,0,2
Russo et al.,C5,overhead,yes,partial,DOWNGRADE,0,3
Russo et al.,C6,noise_model,partial,yes,UPGRADE,4,4
Russo et al.,C8,neg_results,yes,partial,DOWNGRADE,0,1
Regent,C2,variance,partial,yes,UPGRADE,6,3
Regent,C3,stat_tests,partial,yes,UPGRADE,1,6
Sahu & Gupta,C1,sample_size,partial,no,DOWNGRADE,0,0
