Iteration;Problem;QPU;Qubits;Searched;T_transp;T_exec;T_res;IBM_whole_time;IBM_usage_time;G_orig;G_transp;depth_orig;depth_transp;Mean_err;Job id;Algorithm
1;Grover_2num_5Q;ibm_brisbane;5;2;0.2912;0.5505;13.724;11.989859;10;19;5787;11;3331;0.938917;d3b55is86mts7394hd90;Grover
2;Grover_2num_5Q;ibm_brisbane;5;2;0.2647;0.7892;13.9045;11.983609;10;19;5796;11;3342;0.934985;d3b55n486mts7394hdd0;Grover
3;Grover_2num_5Q;ibm_brisbane;5;2;0.2735;0.949;14.3637;12.570206;10;19;5795;11;3340;0.938186;d3b55qulahfs73ctqov0;Grover
4;Grover_2num_5Q;ibm_brisbane;5;2;0.3031;0.6031;13.8623;12.065233;10;19;5796;11;3342;0.935351;d3b55umdacis73d9l0lg;Grover
5;Grover_2num_5Q;ibm_brisbane;5;2;0.2793;0.5673;13.5841;11.841666;10;19;5787;11;3331;0.942484;d3b562elahfs73ctqp7g;Grover
6;Grover_2num_5Q;ibm_brisbane;5;2;0.2769;1.0021;13.5424;11.955223;10;19;5795;11;3340;0.936357;d3b5666lahfs73ctqpc0;Grover
7;Grover_2num_5Q;ibm_brisbane;5;2;0.3113;0.5451;14.0737;11.999815;10;19;5788;11;3333;0.937637;d3b569s86mts7394he1g;Grover
8;Grover_2num_5Q;ibm_brisbane;5;2;0.289;0.5946;13.6698;11.927062;10;19;5788;11;3333;0.940563;d3b56dk86mts7394he60;Grover
9;Grover_2num_5Q;ibm_brisbane;5;2;0.2611;0.608;12.8469;11.697916;10;19;5787;11;3331;0.938643;d3b56hc86mts7394heag;Grover
10;Grover_2num_5Q;ibm_brisbane;5;2;0.3186;0.5536;14.0071;12.390072;10;19;5788;11;3333;0.942118;d3b56kvc8jls73buva80;Grover
;;;;;;;;;;;;;;;;
;;;;;0.28687;0.67625;13.75785;12.0420661;10;19;5790.7;11;3335.6;0.9385241;;
