Iter;Problem;QPU;Qubits;Searched;Dec;Bin;Expected;Obtained;Error
1;Grover_2num_5Q;ibm_brisbane;5;2;0;'00000;4229;279;3950
1;Grover_2num_5Q;ibm_brisbane;5;2;1;'00001;0;272;272
1;Grover_2num_5Q;ibm_brisbane;5;2;2;'00010;0;304;304
1;Grover_2num_5Q;ibm_brisbane;5;2;3;'00011;0;224;224
1;Grover_2num_5Q;ibm_brisbane;5;2;4;'00100;0;267;267
1;Grover_2num_5Q;ibm_brisbane;5;2;5;'00101;0;260;260
1;Grover_2num_5Q;ibm_brisbane;5;2;6;'00110;0;283;283
1;Grover_2num_5Q;ibm_brisbane;5;2;7;'00111;0;237;237
1;Grover_2num_5Q;ibm_brisbane;5;2;8;'01000;0;272;272
1;Grover_2num_5Q;ibm_brisbane;5;2;9;'01001;0;278;278
1;Grover_2num_5Q;ibm_brisbane;5;2;10;'01010;0;274;274
1;Grover_2num_5Q;ibm_brisbane;5;2;11;'01011;0;254;254
1;Grover_2num_5Q;ibm_brisbane;5;2;12;'01100;0;244;244
1;Grover_2num_5Q;ibm_brisbane;5;2;13;'01101;0;284;284
1;Grover_2num_5Q;ibm_brisbane;5;2;14;'01110;0;268;268
1;Grover_2num_5Q;ibm_brisbane;5;2;15;'01111;0;254;254
1;Grover_2num_5Q;ibm_brisbane;5;2;16;'10000;0;276;276
1;Grover_2num_5Q;ibm_brisbane;5;2;17;'10001;0;230;230
1;Grover_2num_5Q;ibm_brisbane;5;2;18;'10010;0;231;231
1;Grover_2num_5Q;ibm_brisbane;5;2;19;'10011;0;240;240
1;Grover_2num_5Q;ibm_brisbane;5;2;20;'10100;0;298;298
1;Grover_2num_5Q;ibm_brisbane;5;2;21;'10101;0;264;264
1;Grover_2num_5Q;ibm_brisbane;5;2;22;'10110;0;254;254
1;Grover_2num_5Q;ibm_brisbane;5;2;23;'10111;0;254;254
1;Grover_2num_5Q;ibm_brisbane;5;2;24;'11000;0;278;278
1;Grover_2num_5Q;ibm_brisbane;5;2;25;'11001;0;290;290
1;Grover_2num_5Q;ibm_brisbane;5;2;26;'11010;0;261;261
1;Grover_2num_5Q;ibm_brisbane;5;2;27;'11011;0;253;253
1;Grover_2num_5Q;ibm_brisbane;5;2;28;'11100;0;255;255
1;Grover_2num_5Q;ibm_brisbane;5;2;29;'11101;0;247;247
1;Grover_2num_5Q;ibm_brisbane;5;2;30;'11110;0;290;290
1;Grover_2num_5Q;ibm_brisbane;5;2;31;'11111;4229;283;3946
2;Grover_2num_5Q;ibm_brisbane;5;2;0;'00000;4229;260;3969
2;Grover_2num_5Q;ibm_brisbane;5;2;1;'00001;0;260;260
2;Grover_2num_5Q;ibm_brisbane;5;2;2;'00010;0;262;262
2;Grover_2num_5Q;ibm_brisbane;5;2;3;'00011;0;267;267
2;Grover_2num_5Q;ibm_brisbane;5;2;4;'00100;0;282;282
2;Grover_2num_5Q;ibm_brisbane;5;2;5;'00101;0;263;263
2;Grover_2num_5Q;ibm_brisbane;5;2;6;'00110;0;241;241
2;Grover_2num_5Q;ibm_brisbane;5;2;7;'00111;0;249;249
2;Grover_2num_5Q;ibm_brisbane;5;2;8;'01000;0;280;280
2;Grover_2num_5Q;ibm_brisbane;5;2;9;'01001;0;266;266
2;Grover_2num_5Q;ibm_brisbane;5;2;10;'01010;0;282;282
2;Grover_2num_5Q;ibm_brisbane;5;2;11;'01011;0;222;222
2;Grover_2num_5Q;ibm_brisbane;5;2;12;'01100;0;280;280
2;Grover_2num_5Q;ibm_brisbane;5;2;13;'01101;0;256;256
2;Grover_2num_5Q;ibm_brisbane;5;2;14;'01110;0;273;273
2;Grover_2num_5Q;ibm_brisbane;5;2;15;'01111;0;251;251
2;Grover_2num_5Q;ibm_brisbane;5;2;16;'10000;0;292;292
2;Grover_2num_5Q;ibm_brisbane;5;2;17;'10001;0;240;240
2;Grover_2num_5Q;ibm_brisbane;5;2;18;'10010;0;278;278
2;Grover_2num_5Q;ibm_brisbane;5;2;19;'10011;0;251;251
2;Grover_2num_5Q;ibm_brisbane;5;2;20;'10100;0;279;279
2;Grover_2num_5Q;ibm_brisbane;5;2;21;'10101;0;274;274
2;Grover_2num_5Q;ibm_brisbane;5;2;22;'10110;0;251;251
2;Grover_2num_5Q;ibm_brisbane;5;2;23;'10111;0;252;252
2;Grover_2num_5Q;ibm_brisbane;5;2;24;'11000;0;249;249
2;Grover_2num_5Q;ibm_brisbane;5;2;25;'11001;0;286;286
2;Grover_2num_5Q;ibm_brisbane;5;2;26;'11010;0;279;279
2;Grover_2num_5Q;ibm_brisbane;5;2;27;'11011;0;286;286
2;Grover_2num_5Q;ibm_brisbane;5;2;28;'11100;0;275;275
2;Grover_2num_5Q;ibm_brisbane;5;2;29;'11101;0;248;248
2;Grover_2num_5Q;ibm_brisbane;5;2;30;'11110;0;277;277
2;Grover_2num_5Q;ibm_brisbane;5;2;31;'11111;4229;247;3982
3;Grover_2num_5Q;ibm_brisbane;5;2;0;'00000;4229;248;3981
3;Grover_2num_5Q;ibm_brisbane;5;2;1;'00001;0;275;275
3;Grover_2num_5Q;ibm_brisbane;5;2;2;'00010;0;292;292
3;Grover_2num_5Q;ibm_brisbane;5;2;3;'00011;0;253;253
3;Grover_2num_5Q;ibm_brisbane;5;2;4;'00100;0;277;277
3;Grover_2num_5Q;ibm_brisbane;5;2;5;'00101;0;250;250
3;Grover_2num_5Q;ibm_brisbane;5;2;6;'00110;0;233;233
3;Grover_2num_5Q;ibm_brisbane;5;2;7;'00111;0;249;249
3;Grover_2num_5Q;ibm_brisbane;5;2;8;'01000;0;284;284
3;Grover_2num_5Q;ibm_brisbane;5;2;9;'01001;0;276;276
3;Grover_2num_5Q;ibm_brisbane;5;2;10;'01010;0;283;283
3;Grover_2num_5Q;ibm_brisbane;5;2;11;'01011;0;239;239
3;Grover_2num_5Q;ibm_brisbane;5;2;12;'01100;0;272;272
3;Grover_2num_5Q;ibm_brisbane;5;2;13;'01101;0;290;290
3;Grover_2num_5Q;ibm_brisbane;5;2;14;'01110;0;302;302
3;Grover_2num_5Q;ibm_brisbane;5;2;15;'01111;0;238;238
3;Grover_2num_5Q;ibm_brisbane;5;2;16;'10000;0;288;288
3;Grover_2num_5Q;ibm_brisbane;5;2;17;'10001;0;257;257
3;Grover_2num_5Q;ibm_brisbane;5;2;18;'10010;0;251;251
3;Grover_2num_5Q;ibm_brisbane;5;2;19;'10011;0;247;247
3;Grover_2num_5Q;ibm_brisbane;5;2;20;'10100;0;245;245
3;Grover_2num_5Q;ibm_brisbane;5;2;21;'10101;0;276;276
3;Grover_2num_5Q;ibm_brisbane;5;2;22;'10110;0;261;261
3;Grover_2num_5Q;ibm_brisbane;5;2;23;'10111;0;237;237
3;Grover_2num_5Q;ibm_brisbane;5;2;24;'11000;0;291;291
3;Grover_2num_5Q;ibm_brisbane;5;2;25;'11001;0;240;240
3;Grover_2num_5Q;ibm_brisbane;5;2;26;'11010;0;255;255
3;Grover_2num_5Q;ibm_brisbane;5;2;27;'11011;0;253;253
3;Grover_2num_5Q;ibm_brisbane;5;2;28;'11100;0;294;294
3;Grover_2num_5Q;ibm_brisbane;5;2;29;'11101;0;248;248
3;Grover_2num_5Q;ibm_brisbane;5;2;30;'11110;0;284;284
3;Grover_2num_5Q;ibm_brisbane;5;2;31;'11111;4229;270;3959
4;Grover_2num_5Q;ibm_brisbane;5;2;0;'00000;4229;284;3945
4;Grover_2num_5Q;ibm_brisbane;5;2;1;'00001;0;251;251
4;Grover_2num_5Q;ibm_brisbane;5;2;2;'00010;0;260;260
4;Grover_2num_5Q;ibm_brisbane;5;2;3;'00011;0;257;257
4;Grover_2num_5Q;ibm_brisbane;5;2;4;'00100;0;288;288
4;Grover_2num_5Q;ibm_brisbane;5;2;5;'00101;0;248;248
4;Grover_2num_5Q;ibm_brisbane;5;2;6;'00110;0;254;254
4;Grover_2num_5Q;ibm_brisbane;5;2;7;'00111;0;206;206
4;Grover_2num_5Q;ibm_brisbane;5;2;8;'01000;0;298;298
4;Grover_2num_5Q;ibm_brisbane;5;2;9;'01001;0;276;276
4;Grover_2num_5Q;ibm_brisbane;5;2;10;'01010;0;297;297
4;Grover_2num_5Q;ibm_brisbane;5;2;11;'01011;0;249;249
4;Grover_2num_5Q;ibm_brisbane;5;2;12;'01100;0;279;279
4;Grover_2num_5Q;ibm_brisbane;5;2;13;'01101;0;252;252
4;Grover_2num_5Q;ibm_brisbane;5;2;14;'01110;0;257;257
4;Grover_2num_5Q;ibm_brisbane;5;2;15;'01111;0;254;254
4;Grover_2num_5Q;ibm_brisbane;5;2;16;'10000;0;278;278
4;Grover_2num_5Q;ibm_brisbane;5;2;17;'10001;0;265;265
4;Grover_2num_5Q;ibm_brisbane;5;2;18;'10010;0;253;253
4;Grover_2num_5Q;ibm_brisbane;5;2;19;'10011;0;233;233
4;Grover_2num_5Q;ibm_brisbane;5;2;20;'10100;0;272;272
4;Grover_2num_5Q;ibm_brisbane;5;2;21;'10101;0;270;270
4;Grover_2num_5Q;ibm_brisbane;5;2;22;'10110;0;234;234
4;Grover_2num_5Q;ibm_brisbane;5;2;23;'10111;0;224;224
4;Grover_2num_5Q;ibm_brisbane;5;2;24;'11000;0;303;303
4;Grover_2num_5Q;ibm_brisbane;5;2;25;'11001;0;252;252
4;Grover_2num_5Q;ibm_brisbane;5;2;26;'11010;0;260;260
4;Grover_2num_5Q;ibm_brisbane;5;2;27;'11011;0;241;241
4;Grover_2num_5Q;ibm_brisbane;5;2;28;'11100;0;302;302
4;Grover_2num_5Q;ibm_brisbane;5;2;29;'11101;0;266;266
4;Grover_2num_5Q;ibm_brisbane;5;2;30;'11110;0;323;323
4;Grover_2num_5Q;ibm_brisbane;5;2;31;'11111;4229;272;3957
5;Grover_2num_5Q;ibm_brisbane;5;2;0;'00000;4229;286;3943
5;Grover_2num_5Q;ibm_brisbane;5;2;1;'00001;0;235;235
5;Grover_2num_5Q;ibm_brisbane;5;2;2;'00010;0;309;309
5;Grover_2num_5Q;ibm_brisbane;5;2;3;'00011;0;256;256
5;Grover_2num_5Q;ibm_brisbane;5;2;4;'00100;0;272;272
5;Grover_2num_5Q;ibm_brisbane;5;2;5;'00101;0;244;244
