Iter;Problem;QPU;Qubits;Searched;Dec;Bin;Expected;Obtained;Error
1;Grover_2num_5Q;ibm_brisbane;5;2;0;'00000;512;33;479
1;Grover_2num_5Q;ibm_brisbane;5;2;1;'00001;0;30;30
1;Grover_2num_5Q;ibm_brisbane;5;2;2;'00010;0;43;43
1;Grover_2num_5Q;ibm_brisbane;5;2;3;'00011;0;23;23
1;Grover_2num_5Q;ibm_brisbane;5;2;4;'00100;0;31;31
1;Grover_2num_5Q;ibm_brisbane;5;2;5;'00101;0;28;28
1;Grover_2num_5Q;ibm_brisbane;5;2;6;'00110;0;31;31
1;Grover_2num_5Q;ibm_brisbane;5;2;7;'00111;0;35;35
1;Grover_2num_5Q;ibm_brisbane;5;2;8;'01000;0;39;39
1;Grover_2num_5Q;ibm_brisbane;5;2;9;'01001;0;32;32
1;Grover_2num_5Q;ibm_brisbane;5;2;10;'01010;0;32;32
1;Grover_2num_5Q;ibm_brisbane;5;2;11;'01011;0;30;30
1;Grover_2num_5Q;ibm_brisbane;5;2;12;'01100;0;34;34
1;Grover_2num_5Q;ibm_brisbane;5;2;13;'01101;0;34;34
1;Grover_2num_5Q;ibm_brisbane;5;2;14;'01110;0;24;24
1;Grover_2num_5Q;ibm_brisbane;5;2;15;'01111;0;31;31
1;Grover_2num_5Q;ibm_brisbane;5;2;16;'10000;0;35;35
1;Grover_2num_5Q;ibm_brisbane;5;2;17;'10001;0;37;37
1;Grover_2num_5Q;ibm_brisbane;5;2;18;'10010;0;24;24
1;Grover_2num_5Q;ibm_brisbane;5;2;19;'10011;0;34;34
1;Grover_2num_5Q;ibm_brisbane;5;2;20;'10100;0;29;29
1;Grover_2num_5Q;ibm_brisbane;5;2;21;'10101;0;22;22
1;Grover_2num_5Q;ibm_brisbane;5;2;22;'10110;0;36;36
1;Grover_2num_5Q;ibm_brisbane;5;2;23;'10111;0;29;29
1;Grover_2num_5Q;ibm_brisbane;5;2;24;'11000;0;46;46
1;Grover_2num_5Q;ibm_brisbane;5;2;25;'11001;0;28;28
1;Grover_2num_5Q;ibm_brisbane;5;2;26;'11010;0;36;36
1;Grover_2num_5Q;ibm_brisbane;5;2;27;'11011;0;33;33
1;Grover_2num_5Q;ibm_brisbane;5;2;28;'11100;0;32;32
1;Grover_2num_5Q;ibm_brisbane;5;2;29;'11101;0;31;31
1;Grover_2num_5Q;ibm_brisbane;5;2;30;'11110;0;35;35
1;Grover_2num_5Q;ibm_brisbane;5;2;31;'11111;512;27;485
2;Grover_2num_5Q;ibm_brisbane;5;2;0;'00000;512;33;479
