Iter;Problem;QPU;Qubits;Searched;Dec;Bin;Expected;Obtained;Error
1;Grover_2num_5Q;ibm_brisbane;5;2;0;'00000;5468;354;5114
1;Grover_2num_5Q;ibm_brisbane;5;2;1;'00001;0;332;332
1;Grover_2num_5Q;ibm_brisbane;5;2;2;'00010;0;357;357
1;Grover_2num_5Q;ibm_brisbane;5;2;3;'00011;0;318;318
1;Grover_2num_5Q;ibm_brisbane;5;2;4;'00100;0;352;352
1;Grover_2num_5Q;ibm_brisbane;5;2;5;'00101;0;325;325
1;Grover_2num_5Q;ibm_brisbane;5;2;6;'00110;0;347;347
1;Grover_2num_5Q;ibm_brisbane;5;2;7;'00111;0;293;293
1;Grover_2num_5Q;ibm_brisbane;5;2;8;'01000;0;344;344
1;Grover_2num_5Q;ibm_brisbane;5;2;9;'01001;0;298;298
1;Grover_2num_5Q;ibm_brisbane;5;2;10;'01010;0;377;377
1;Grover_2num_5Q;ibm_brisbane;5;2;11;'01011;0;334;334
1;Grover_2num_5Q;ibm_brisbane;5;2;12;'01100;0;400;400
1;Grover_2num_5Q;ibm_brisbane;5;2;13;'01101;0;342;342
1;Grover_2num_5Q;ibm_brisbane;5;2;14;'01110;0;344;344
1;Grover_2num_5Q;ibm_brisbane;5;2;15;'01111;0;305;305
1;Grover_2num_5Q;ibm_brisbane;5;2;16;'10000;0;369;369
1;Grover_2num_5Q;ibm_brisbane;5;2;17;'10001;0;339;339
1;Grover_2num_5Q;ibm_brisbane;5;2;18;'10010;0;343;343
1;Grover_2num_5Q;ibm_brisbane;5;2;19;'10011;0;328;328
1;Grover_2num_5Q;ibm_brisbane;5;2;20;'10100;0;342;342
1;Grover_2num_5Q;ibm_brisbane;5;2;21;'10101;0;361;361
1;Grover_2num_5Q;ibm_brisbane;5;2;22;'10110;0;362;362
1;Grover_2num_5Q;ibm_brisbane;5;2;23;'10111;0;322;322
1;Grover_2num_5Q;ibm_brisbane;5;2;24;'11000;0;370;370
1;Grover_2num_5Q;ibm_brisbane;5;2;25;'11001;0;380;380
1;Grover_2num_5Q;ibm_brisbane;5;2;26;'11010;0;328;328
1;Grover_2num_5Q;ibm_brisbane;5;2;27;'11011;0;329;329
1;Grover_2num_5Q;ibm_brisbane;5;2;28;'11100;0;358;358
1;Grover_2num_5Q;ibm_brisbane;5;2;29;'11101;0;335;335
1;Grover_2num_5Q;ibm_brisbane;5;2;30;'11110;0;334;334
1;Grover_2num_5Q;ibm_brisbane;5;2;31;'11111;5468;314;5154
2;Grover_2num_5Q;ibm_brisbane;5;2;0;'00000;5468;359;5109
2;Grover_2num_5Q;ibm_brisbane;5;2;1;'00001;0;285;285
2;Grover_2num_5Q;ibm_brisbane;5;2;2;'00010;0;342;342
2;Grover_2num_5Q;ibm_brisbane;5;2;3;'00011;0;345;345
2;Grover_2num_5Q;ibm_brisbane;5;2;4;'00100;0;358;358
2;Grover_2num_5Q;ibm_brisbane;5;2;5;'00101;0;288;288
