Iter;Problem;QPU;Qubits;Searched;Dec;Bin;Expected;Obtained;Error
3;Grover_2num_5Q;ibm_brisbane;5;2;18;'10010;0;197;197
3;Grover_2num_5Q;ibm_brisbane;5;2;19;'10011;0;156;156
3;Grover_2num_5Q;ibm_brisbane;5;2;20;'10100;0;204;204
3;Grover_2num_5Q;ibm_brisbane;5;2;21;'10101;0;177;177
3;Grover_2num_5Q;ibm_brisbane;5;2;22;'10110;0;159;159
3;Grover_2num_5Q;ibm_brisbane;5;2;23;'10111;0;148;148
3;Grover_2num_5Q;ibm_brisbane;5;2;24;'11000;0;196;196
3;Grover_2num_5Q;ibm_brisbane;5;2;25;'11001;0;168;168
3;Grover_2num_5Q;ibm_brisbane;5;2;26;'11010;0;191;191
3;Grover_2num_5Q;ibm_brisbane;5;2;27;'11011;0;167;167
3;Grover_2num_5Q;ibm_brisbane;5;2;28;'11100;0;190;190
3;Grover_2num_5Q;ibm_brisbane;5;2;29;'11101;0;172;172
3;Grover_2num_5Q;ibm_brisbane;5;2;30;'11110;0;183;183
3;Grover_2num_5Q;ibm_brisbane;5;2;31;'11111;2990;198;2792
4;Grover_2num_5Q;ibm_brisbane;5;2;0;'00000;2990;226;2764
4;Grover_2num_5Q;ibm_brisbane;5;2;1;'00001;0;160;160
4;Grover_2num_5Q;ibm_brisbane;5;2;2;'00010;0;177;177
4;Grover_2num_5Q;ibm_brisbane;5;2;3;'00011;0;173;173
4;Grover_2num_5Q;ibm_brisbane;5;2;4;'00100;0;197;197
4;Grover_2num_5Q;ibm_brisbane;5;2;5;'00101;0;176;176
4;Grover_2num_5Q;ibm_brisbane;5;2;6;'00110;0;212;212
4;Grover_2num_5Q;ibm_brisbane;5;2;7;'00111;0;176;176
4;Grover_2num_5Q;ibm_brisbane;5;2;8;'01000;0;193;193
4;Grover_2num_5Q;ibm_brisbane;5;2;9;'01001;0;183;183
4;Grover_2num_5Q;ibm_brisbane;5;2;10;'01010;0;221;221
4;Grover_2num_5Q;ibm_brisbane;5;2;11;'01011;0;148;148
4;Grover_2num_5Q;ibm_brisbane;5;2;12;'01100;0;211;211
4;Grover_2num_5Q;ibm_brisbane;5;2;13;'01101;0;166;166
4;Grover_2num_5Q;ibm_brisbane;5;2;14;'01110;0;215;215
4;Grover_2num_5Q;ibm_brisbane;5;2;15;'01111;0;163;163
4;Grover_2num_5Q;ibm_brisbane;5;2;16;'10000;0;207;207
4;Grover_2num_5Q;ibm_brisbane;5;2;17;'10001;0;167;167
4;Grover_2num_5Q;ibm_brisbane;5;2;18;'10010;0;190;190
4;Grover_2num_5Q;ibm_brisbane;5;2;19;'10011;0;172;172
4;Grover_2num_5Q;ibm_brisbane;5;2;20;'10100;0;207;207
4;Grover_2num_5Q;ibm_brisbane;5;2;21;'10101;0;183;183
4;Grover_2num_5Q;ibm_brisbane;5;2;22;'10110;0;186;186
4;Grover_2num_5Q;ibm_brisbane;5;2;23;'10111;0;170;170
4;Grover_2num_5Q;ibm_brisbane;5;2;24;'11000;0;197;197
4;Grover_2num_5Q;ibm_brisbane;5;2;25;'11001;0;159;159
4;Grover_2num_5Q;ibm_brisbane;5;2;26;'11010;0;206;206
4;Grover_2num_5Q;ibm_brisbane;5;2;27;'11011;0;182;182
4;Grover_2num_5Q;ibm_brisbane;5;2;28;'11100;0;170;170
4;Grover_2num_5Q;ibm_brisbane;5;2;29;'11101;0;203;203
4;Grover_2num_5Q;ibm_brisbane;5;2;30;'11110;0;212;212
4;Grover_2num_5Q;ibm_brisbane;5;2;31;'11111;2990;172;2818
5;Grover_2num_5Q;ibm_brisbane;5;2;0;'00000;2990;214;2776
5;Grover_2num_5Q;ibm_brisbane;5;2;1;'00001;0;185;185
5;Grover_2num_5Q;ibm_brisbane;5;2;2;'00010;0;196;196
5;Grover_2num_5Q;ibm_brisbane;5;2;3;'00011;0;174;174
5;Grover_2num_5Q;ibm_brisbane;5;2;4;'00100;0;202;202
5;Grover_2num_5Q;ibm_brisbane;5;2;5;'00101;0;167;167
5;Grover_2num_5Q;ibm_brisbane;5;2;6;'00110;0;197;197
5;Grover_2num_5Q;ibm_brisbane;5;2;7;'00111;0;183;183
5;Grover_2num_5Q;ibm_brisbane;5;2;8;'01000;0;179;179
5;Grover_2num_5Q;ibm_brisbane;5;2;9;'01001;0;199;199
5;Grover_2num_5Q;ibm_brisbane;5;2;10;'01010;0;214;214
5;Grover_2num_5Q;ibm_brisbane;5;2;11;'01011;0;195;195
5;Grover_2num_5Q;ibm_brisbane;5;2;12;'01100;0;182;182
5;Grover_2num_5Q;ibm_brisbane;5;2;13;'01101;0;184;184
5;Grover_2num_5Q;ibm_brisbane;5;2;14;'01110;0;199;199
5;Grover_2num_5Q;ibm_brisbane;5;2;15;'01111;0;175;175
5;Grover_2num_5Q;ibm_brisbane;5;2;16;'10000;0;186;186
5;Grover_2num_5Q;ibm_brisbane;5;2;17;'10001;0;165;165
5;Grover_2num_5Q;ibm_brisbane;5;2;18;'10010;0;162;162
5;Grover_2num_5Q;ibm_brisbane;5;2;19;'10011;0;158;158
5;Grover_2num_5Q;ibm_brisbane;5;2;20;'10100;0;217;217
5;Grover_2num_5Q;ibm_brisbane;5;2;21;'10101;0;177;177
5;Grover_2num_5Q;ibm_brisbane;5;2;22;'10110;0;170;170
5;Grover_2num_5Q;ibm_brisbane;5;2;23;'10111;0;162;162
5;Grover_2num_5Q;ibm_brisbane;5;2;24;'11000;0;212;212
5;Grover_2num_5Q;ibm_brisbane;5;2;25;'11001;0;188;188
5;Grover_2num_5Q;ibm_brisbane;5;2;26;'11010;0;196;196
